135,MD12 Frame,  15.75 ,  14.75 ,  13.75 ,  12.75 ,  14.75 ,  13.75 ,0,0,0,0,0,0,0,1,3,NULL,NULL,NULL
136,MD12 French,  15.75 ,  14.75 ,  13.75 ,  12.75 ,  14.75 ,  13.75 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
137,MD12 Solid ,  19.80 ,  18.80 ,  17.80 ,  16.80 ,  18.80 ,  17.80 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
138,MD12 Solid  DF,  19.80 ,  18.80 ,  17.80 ,  16.80 ,  18.80 ,  17.80 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
139,MD14 Flat,  15.75 ,  14.75 ,  13.75 ,  12.75 ,  14.75 ,0,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
140,MD1A Flat ,  15.75 ,  14.75 ,  13.75 ,  12.75 ,  14.75 ,  13.75 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
141,MD1A Flat  DF,  15.75 ,  14.75 ,  13.75 ,  12.75 ,  14.75 ,  13.75 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
142,MD1A Frame,  15.75 ,  14.75 ,  13.75 ,  13.75 ,  14.75 ,  13.75 ,0,0,0,0,0,0,0,1,3,NULL,NULL,NULL
143,MD1A French,  15.75 ,  14.75 ,  13.75 ,  13.75 ,  14.75 ,  13.75 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
144,MD1A Solid ,  19.80 ,  18.80 ,  17.80 ,  16.80 ,  18.80 ,  17.80 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
145,MD1A Solid  DF,  19.80 ,  18.80 ,  17.80 ,  16.80 ,  18.80 ,  17.80 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
146,MD1C Flat,  15.75 ,  14.75 ,  13.75 ,  12.75 ,  11.71 ,  13.75 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
147,MD1C Flat DF,  15.75 ,  14.75 ,  13.75 ,  12.75 ,  11.71 ,  13.75 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
148,MD1C Frame,  15.75 ,  14.75 ,  13.75 ,  12.75 ,  11.71 ,  13.75 ,0,0,0,0,0,0,0,1,3,NULL,NULL,NULL
149,MD1C French,  15.75 ,  14.75 ,  13.75 ,  12.75 ,  11.71 ,  13.75 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
150,MD1C Soild,  19.80 ,  18.80 ,  17.80 ,  16.80 ,  15.80 ,  17.80 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
151,MD1C Soild DF,  19.80 ,  18.80 ,  17.80 ,  16.80 ,  15.80 ,  17.80 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
152,MD2 Flat ,  14.75 ,  13.75 ,  12.75 ,  11.75 ,  13.75 ,  12.75 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
153,MD2 Flat  DF,  14.75 ,  13.75 ,  12.75 ,  11.75 ,  13.75 ,  12.75 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
154,MD2 Frame,  14.75 ,  13.75 ,  12.75 ,  12.75 ,  13.75 ,  12.75 ,0,0,0,0,0,0,0,1,3,NULL,NULL,NULL
155,MD2 French,  14.75 ,  13.75 ,  12.75 ,  12.75 ,  13.75 ,  12.75 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
156,MD2 Solid ,  18.85 ,  17.85 ,  16.85 ,  15.85 ,  17.85 ,  16.85 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
157,MD2 Solid  DF,  18.85 ,  17.85 ,  16.85 ,  15.85 ,  17.85 ,  16.85 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
